,year,date,stream,total_value,total_volume,ma_volume,ma_value,day
283,2020,7/20/2020,G-Rec Gen Warr,398397470.2,246801,296704.8,402613354.7,7/20/2021
284,2020,7/20/2020,H-Bonds & Coupon,0,0,1,206.064,7/20/2021
285,2020,7/20/2020,I-Images,0,0,0.2,152.048,7/20/2021
286,2020,7/20/2020,J-Online Cr Pmt,4006525.14,13360,18174.4,8276546.186,7/20/2021
287,2020,7/20/2020,K-Online Pmt Ref,23915.34,218,317.8,40911.17,7/20/2021
288,2020,7/20/2020,M-Gov Direc Dep,3054765466,3340261,1040265,1583145784,7/20/2021
289,2020,7/20/2020,N-Shared Network,72543053.32,369462,440145.2,73449753.54,7/20/2021
290,2020,7/20/2020,O-Images,8850558478,1276355,1219151.8,8124597790,7/20/2021
291,2020,7/20/2020,P-POS - DR,741094631.8,17250520,20807063.2,850306530,7/20/2021
292,2020,7/20/2020,Q-POS - CR,8212819.78,121583,161613.6,10844848.1,7/20/2021
293,2020,7/20/2020,R-Image Returns,0,0,0,0,7/20/2021
294,2020,7/20/2020,S-Image Returns,3780482.67,805,899.6,7293497.704,7/20/2021
295,2020,7/20/2020,U-Unqualified,1307890.34,479,754.6,2417872.218,7/20/2021
296,2020,7/20/2020,V-SET,0,0,0,0,7/20/2021
297,2020,7/20/2020,X-EDI,595955885.8,17737,17574,731237740.5,7/20/2021
298,2020,7/20/2020,Y-Remittances,807238366.1,1645586,1771239.2,973128670.4,7/20/2021
299,2020,7/20/2020,Z-Computer Rejects,3753316.72,231,244.4,2761595.416,7/20/2021
300,2020,7/21/2020,A-ABM Adjust.,3902.3,22,38,7359.058,7/21/2021
301,2020,7/21/2020,B-CSB,166988.83,399,349.6,308829.538,7/21/2021
302,2020,7/21/2020,C-AFT Credit,10356946052,2006398,2790736.2,11071241687,7/21/2021
303,2020,7/21/2020,D-AFT Debit,3230887220,5043373,3961942,3368610547,7/21/2021
304,2020,7/21/2020,E-Encoded Paper,866093313,40779,34304.8,822218552.9,7/21/2021
305,2020,7/21/2020,F-Remittances,2259514.49,1458,1795.2,2778527.932,7/21/2021
306,2020,7/21/2020,G-Rec Gen Warr,464538608.9,365803,281482.2,404858172.7,7/21/2021
307,2020,7/21/2020,H-Bonds & Coupon,0,0,0.2,21.064,7/21/2021
308,2020,7/21/2020,I-Images,0,0,0.2,152.048,7/21/2021
